,GHM,acte_classant,duree_mediane
647,03C12,FAFA010,1.0
648,06C07,HGLA001,3.0
649,06C04,HHFC296,2.0
650,02C02,BGGA002,1.0
651,06C16,HFFC001,2.0
652,08C33,NJEA011,7.0
653,08C37,NDPA013,1.0
654,14C09,JJFC001,2.0
655,11C04,JRGA001,1.0
656,09C05,QEEB152,1.0
657,06K02,HELE002,1.0
658,11C02,JDFA021,16.0
659,08C39,MCCA008,1.0
660,08C39,PCPA003,1.0
661,03C07,LAFA023,1.0
662,08C58,MJDC001,1.0
663,13C14,JKFA027,10.0
664,11C03,JCPA002,6.0
665,06C16,HFFA009,8.0
666,08C32,NGCA001,1.5
667,06C07,LMSA002,13.0
668,13C03,JKFC002,2.0
669,03C19,LBPA015,3.0
670,09C03,GAFA003,1.0
671,11C02,JAFA009,8.5
672,09C11,QEFA007,3.0
673,07C09,HNFC001,9.0
674,08C50,NEPA001,2.0
675,17C06,FCFA022,10.0
676,05C17,EJFA006,1.0
677,08C61,NFGA002,21.5
678,16C03,FCPA001,2.0
679,06C03,HJQE001,8.5
680,07C11,HMCA007,7.0
681,08C58,MJEC002,1.0
682,08C49,NBGA007,15.0
683,06C24,LMMA010,3.0
684,08C32,NCCA005,1.0
685,16C02,FFFC001,3.0
686,09C06,QEMA010,1.0
687,11C10,JEPA007,2.0
688,13C14,JFFA011,19.0
689,06C19,HJFD005,2.0
690,11C13,JDQE001,3.0
691,09C05,QEFA018,1.0
692,13C04,JLCA005,3.0
693,09C03,QZEA024,1.0
694,09C06,QEKA002,1.0
695,03C20,CBFA006,1.0
696,11C02,DHFA003,18.0
697,12C07,JHFA004,1.0
698,03C07,CBFA008,1.0
699,03C20,CBFA004,1.0
700,03C20,CBPA003,1.0
701,03C09,GAMA016,1.0
702,03C20,CBMA001,1.0
703,08C35,MEEA004,1.0
704,01C08,ADPA016,1.0
705,08C21,LJFA004,3.5
706,08C37,NDPA008,1.5
707,06C19,EGFA002,1.0
708,01C15,AHPA009,1.0
709,08C42,NJEA007,1.0
710,13C07,JJFC010,1.0
711,09C14,FCFA029,1.0
712,09C05,QEFA008,1.0
713,03C20,CBMA007,1.0
714,13C13,HPNA001,1.0
715,06K02,HFLE001,1.0
716,06C04,HFMA004,3.0
717,05K06,EEAF002,2.0
718,03C24,HCFA008,2.0
719,01C14,AHPA011,1.0
720,13C03,JKFA026,2.0
721,03C16,LCFA006,1.0
722,03K02,HBGD016,1.0
723,11C07,JEGA003,1.0
724,03C21,CAMA013,1.0
725,08C14,PAGA010,2.0
726,09C09,HAMA010,1.0
727,13C06,JJFA007,2.0
728,08C61,NGJA001,42.0
729,11C13,JDPE002,2.0
730,17C07,FCFA008,3.0
731,08C22,NEKA004,6.0
732,08C43,MZPA002,1.0
733,12C11,JGFC001,5.0
734,06K02,HHLE005,1.0
735,09C10,PDFA002,1.0
736,04C02,GGPA001,8.0
737,23C02,EDCA001,9.0
738,03K02,HBGD422,1.0
739,06K02,HEFE002,1.0
740,10C11,KCFA005,1.0
741,05C10,NZFA010,10.0
742,07C12,HMFC001,3.0
743,10C13,HFCC003,1.0
744,08C39,MCCB004,2.0
745,06K02,HHSE003,1.0
746,13C15,JKFA028,5.0
747,12C07,JHFA013,1.0
748,03C24,HCFA007,1.0
749,05K10,DDQH009,8.5
750,08C60,MDCA005,1.0
751,03C20,CBMD002,1.0
752,13C05,JJFA004,3.5
753,05C15,DEEF001,7.0
754,13C19,JJCC001,2.0
755,01C08,MJAA001,1.0
756,04C03,GHJA001,51.0
757,11C02,JCEA005,6.0
758,06C03,HJFA002,13.0
759,03C16,LCFA005,1.0
760,08C40,NGPC001,1.0
761,05C11,EEFA001,8.0
762,08C42,PCEA002,5.0
763,08C32,NCCA017,1.5
764,06C22,LLMA006,4.0
765,13C14,JMFA007,39.0
766,08C14,PAGA009,1.0
767,03C26,HAFA021,4.0
768,14C08,JQGA004,5.0
769,05K06,DDAF007,4.0
770,07C09,HLFA017,11.0
771,11C13,JDFE002,1.0
772,03C20,CBPA002,1.0
773,08C34,NFMC002,1.0
774,06C09,HHFA001,2.0
775,05C12,EEPF001,38.0
776,08C32,NFMA005,1.0
777,03C20,CBFA005,1.0
778,06C04,HHFA006,4.0
779,09C03,GAFA002,1.0
780,02C08,BAEA002,1.0
