,GHM,acte_classant,duree_mediane
370,08C32,NHDA011,2.0
371,07C11,HMCA004,38.0
372,08C22,NFKA001,3.0
373,09C09,CAMA021,2.0
374,08C39,MCCA005,1.0
375,06C14,HKPA007,1.0
376,05K06,ECAF001,3.0
377,06C25,LMMA014,2.0
378,05C10,EDCA003,8.0
379,06C14,HKPA006,2.0
380,07C09,HLFA011,9.0
381,08C32,NCPA016,3.0
382,09C09,QZFA014,2.0
383,06C16,HFCA002,4.0
384,21C05,PAGA011,1.0
385,13C14,FCFC005,3.0
386,06C16,HEFA013,4.0
387,03C15,CBLD001,1.0
388,06C03,HJFA019,10.0
389,08C49,NBCA010,5.0
390,13C12,JKGD002,1.5
391,11C02,JAFA032,17.0
392,06C03,HJFA006,9.0
393,08C37,NDPA009,1.0
394,02C08,BCLA001,1.0
395,06C19,HHQE004,9.5
396,03C19,LBPA042,3.0
397,06C07,HHFA027,3.0
398,06C21,ZCJA004,7.0
399,02C09,BDMA002,3.0
400,11K03,JEPE002,1.0
401,01C06,EBFA002,14.0
402,08C22,NEKA009,6.0
403,11C03,JCEA002,7.0
404,11C02,JAFC010,5.0
405,13C04,JLDA002,2.0
406,09C03,QZMA001,1.0
407,06C04,HHCC007,12.0
408,08C49,NBCB004,4.0
409,08C22,NEKA002,6.0
410,03K02,HBGD004,1.0
411,06C03,HJFA011,17.0
412,08C42,NJEA002,1.0
413,17C06,LLCA005,9.0
414,03C07,LAFA018,1.0
415,06C03,HJFA005,26.0
416,06C04,HHFA009,10.5
417,09C03,QAMA002,1.0
418,11C02,JDFA016,17.0
419,03C07,LAFA015,1.0
420,09C06,QEGA004,1.0
421,06C22,HFFA008,2.0
422,08C25,MCKA002,1.5
423,11C03,JCEA003,13.0
424,13C03,JKDA003,5.0
425,05C17,EJGA001,1.0
426,06C21,HGQE002,1.0
427,08C33,NGDA001,1.0
428,03C20,CBQA001,1.0
429,11C11,JANE005,2.0
430,03C17,LBFA030,1.0
431,02C08,BCFA009,1.0
432,06C04,HGCA002,24.0
433,08C39,MCCA001,1.0
434,06C16,HFFA006,14.0
435,08C61,NEKA007,11.0
436,03C07,GBPE001,1.0
437,14C09,JJPC001,1.0
438,11C02,JDFA008,20.0
439,13C03,JKFA002,4.0
440,13C07,JJFC003,2.0
441,05C10,EECA003,5.0
442,03C07,GBPE002,1.0
443,02C09,BDMA003,3.0
444,13C08,JLFA002,1.0
445,10C11,FCFA009,4.0
446,06C04,HHMA003,6.0
447,16C03,FCFA012,1.0
